City,County,id,DateAdded,Price,Exterior color,Bedrooms,Bathrooms,Floors,waterfront,View,Condition,Grade,Sqft_living,Sqft_lot,Sqft_above,Sqft_basement,Yr_built,Yr_renovated,timedelta,Country,Country-ISO,Full-State,State,lat,long,NeighborhoodName,ZipCode
Toronto,,9322800210,2014-05-20,879950,gray,4,2,1,False,4,4,9,3500,13875,1830,1670,1938,0,7.181110469282408,Canada,CAN,,,48.36679,-72.21584,Petite rivière Ballantyne,P8N 0M4
Winnipeg,,7010700976,2014-11-14,505000,light gray,3,1,1,False,0,3,7,1100,5400,1100,0,1908,0,9.902501617835648,Canada,CAN,,,50.7167,-92.50033,Fork Creek,T8L 0E4
St_Johns,,6752000330,2014-08-15,490000,black,3,1,1,False,0,3,8,1490,11360,1490,0,1975,0,6.173574384675924,Canada,CAN,,,,,,--
Toronto,,291310310,2014-12-10,533500,yelow,3,3,2,False,0,3,8,2490,3517,1720,770,9999999,0,-0.1049935093287037,Canada,CAN,,,46.06681,-75.78263000000001,Grand Lac Bait,N4X 9M2
Union Center,Meade,3991400080,2014-12-16,499900,light pink,3,1,1,False,2,3,8,2430,8820,1630,800,1977,0,1.273405916898148,USA,USA,South Dakota,SD,44.638003999999995,-102.79796,,37110
West Van Lear,Johnson,2972300140,2014-08-21,352500,pink,3,2,1,False,0,3,8,1920,33630,1920,0,1992,0,-0.05825071126157407,USA,USA,Kentucky,KY,37.786111,-82.771389,,33823
Johnsonville,Rensselaer,6819100122,2014-06-05,0,white,2,1,1,False,0,3,7,970,3400,970,0,1924,0,0.3070414216666666,USA,USA,New York,NY,42.876875,-73.498899,,19454
Moncton,,2487200680,2015-02-24,447000,white,2,1,1,False,2,3,6,720,7500,720,0,1925,0,3.7645296918865734,Canada,CAN,,,45.37842,-65.57840999999999,Burchills Flats,E5H 9T7
Thebes,Alexander,7574910490,2014-11-14,864500,   ,0,0,0,True,0,0,0,0,0,0,0,0,0,3.23613636625,USA,USA,Illinois,IL,37.191554,-89.396896,,54650
Toronto,,710600160,2014-09-09,665000,light blue,4,3,2,False,0,3,8,2650,3474,2230,420,2011,0,8.475218024861112,Canada,CAN,,,47.10139,-75.6575,Lac Mélançon,H9P 7E8
