state,date,fips,cases,deaths,state_code,test
Washington,2020-01-21,53,1,0,WA,0.3914787131269961
Washington,2020-01-22,53,1,0,WA,0.8115558898489618
Washington,2020-01-23,53,1,0,WA,0.8971936517141769
Illinois,2020-01-24,17,1,0,IL,0.723870449009363
Washington,2020-01-24,53,1,0,WA,0.37453234710414396
California,2020-01-25,6,1,0,CA,0.9096533099058817
Illinois,2020-01-25,17,1,0,IL,0.6754505893713013
Washington,2020-01-25,53,1,0,WA,0.21559917844095544
Arizona,2020-01-26,4,1,0,AZ,0.6315461894951678
California,2020-01-26,6,2,0,CA,0.6755500956074716
Illinois,2020-01-26,17,1,0,IL,0.3105918034911783
Washington,2020-01-26,53,1,0,WA,0.06388090035557137
Arizona,2020-01-27,4,1,0,AZ,0.8166400368480007
California,2020-01-27,6,2,0,CA,0.6068573681400612
Illinois,2020-01-27,17,1,0,IL,0.35335391754357737
Washington,2020-01-27,53,1,0,WA,0.943710342943544
Arizona,2020-01-28,4,1,0,AZ,0.5628879023191296
California,2020-01-28,6,2,0,CA,0.4826603825417721
Illinois,2020-01-28,17,1,0,IL,0.9986867922121577
Washington,2020-01-28,53,1,0,WA,0.009328379370153184
Arizona,2020-01-29,4,1,0,AZ,0.7608703177637496
California,2020-01-29,6,2,0,CA,0.9940724345209152
Illinois,2020-01-29,17,1,0,IL,0.6254065477736037
Washington,2020-01-29,53,1,0,WA,0.10819451593962404
Arizona,2020-01-30,4,1,0,AZ,0.46660878186497257
California,2020-01-30,6,2,0,CA,0.9412756252173415
Illinois,2020-01-30,17,2,0,IL,0.3211110789653271
Washington,2020-01-30,53,1,0,WA,0.972792425674818
Arizona,2020-01-31,4,1,0,AZ,0.3200456352317421
California,2020-01-31,6,3,0,CA,0.427929924549018
Illinois,2020-01-31,17,2,0,IL,0.7817379019092907
Washington,2020-01-31,53,1,0,WA,0.050309761407862474
Arizona,2020-02-01,4,1,0,AZ,0.15478173089834324
California,2020-02-01,6,3,0,CA,0.6827975625375687
Illinois,2020-02-01,17,2,0,IL,0.08403647362503341
Massachusetts,2020-02-01,25,1,0,MA,0.3436464228518492
Washington,2020-02-01,53,1,0,WA,0.9317585870217271
Arizona,2020-02-02,4,1,0,AZ,0.49202346813889464
California,2020-02-02,6,6,0,CA,0.04838811817267541
Illinois,2020-02-02,17,2,0,IL,0.8309243706066809
Massachusetts,2020-02-02,25,1,0,MA,0.17497650932048225
Washington,2020-02-02,53,1,0,WA,0.40686302670801344
Arizona,2020-02-03,4,1,0,AZ,0.2965085981139719
California,2020-02-03,6,6,0,CA,0.8534046978584571
Illinois,2020-02-03,17,2,0,IL,0.1449953846361327
Massachusetts,2020-02-03,25,1,0,MA,0.29107751859062136
Washington,2020-02-03,53,1,0,WA,0.9054220224946039
Arizona,2020-02-04,4,1,0,AZ,0.9108347003766379
California,2020-02-04,6,6,0,CA,0.6334380209788505
Illinois,2020-02-04,17,2,0,IL,0.1019258455723071
Massachusetts,2020-02-04,25,1,0,MA,0.5336184778344233
Washington,2020-02-04,53,1,0,WA,0.22516359393938423
Arizona,2020-02-05,4,1,0,AZ,0.5064466264232966
California,2020-02-05,6,6,0,CA,0.47899521614467955
Illinois,2020-02-05,17,2,0,IL,0.9986097935960859
Massachusetts,2020-02-05,25,1,0,MA,0.221169987011545
Washington,2020-02-05,53,1,0,WA,0.660729190765095
Wisconsin,2020-02-05,55,1,0,WI,0.6563944056435563
Arizona,2020-02-06,4,1,0,AZ,0.7660311516521806
California,2020-02-06,6,6,0,CA,0.3426146374229667
Illinois,2020-02-06,17,2,0,IL,0.26690879878688367
Massachusetts,2020-02-06,25,1,0,MA,0.8854029681942469
Washington,2020-02-06,53,1,0,WA,0.9621306023897175
Wisconsin,2020-02-06,55,1,0,WI,0.05206290969957683
Arizona,2020-02-07,4,1,0,AZ,0.05177973103927991
California,2020-02-07,6,6,0,CA,0.34286993920045095
Illinois,2020-02-07,17,2,0,IL,0.31631750424919247
Massachusetts,2020-02-07,25,1,0,MA,0.44556731110589365
Washington,2020-02-07,53,1,0,WA,0.27208205462539814
Wisconsin,2020-02-07,55,1,0,WI,0.5498650139119282
Arizona,2020-02-08,4,1,0,AZ,0.016704829907683183
California,2020-02-08,6,6,0,CA,0.7143401090669232
Illinois,2020-02-08,17,2,0,IL,0.8216012855991804
Massachusetts,2020-02-08,25,1,0,MA,0.045205878904204355
Washington,2020-02-08,53,1,0,WA,0.40377487552219016
Wisconsin,2020-02-08,55,1,0,WI,0.5901338053412968
Arizona,2020-02-09,4,1,0,AZ,0.09155524001520188
California,2020-02-09,6,6,0,CA,0.937202733848136
Illinois,2020-02-09,17,2,0,IL,0.6161442245694001
Massachusetts,2020-02-09,25,1,0,MA,0.6204470765205061
Washington,2020-02-09,53,1,0,WA,0.9915519429665616
Wisconsin,2020-02-09,55,1,0,WI,0.7293648105463639
Arizona,2020-02-10,4,1,0,AZ,0.402302277555566
California,2020-02-10,6,7,0,CA,0.16488640099884877
Illinois,2020-02-10,17,2,0,IL,0.8487934832421528
Massachusetts,2020-02-10,25,1,0,MA,0.7836570759365801
Washington,2020-02-10,53,1,0,WA,0.1895741254238278
Wisconsin,2020-02-10,55,1,0,WI,0.9049737457869992
Arizona,2020-02-11,4,1,0,AZ,0.31844684743207885
California,2020-02-11,6,7,0,CA,0.3972531957558626
Illinois,2020-02-11,17,2,0,IL,0.3774800115361856
Massachusetts,2020-02-11,25,1,0,MA,0.5071616386730822
Washington,2020-02-11,53,1,0,WA,0.9005807560521332
Wisconsin,2020-02-11,55,1,0,WI,0.7645857225977825
Arizona,2020-02-12,4,1,0,AZ,0.35817173699383653
California,2020-02-12,6,7,0,CA,0.7027608785840005
Illinois,2020-02-12,17,2,0,IL,0.3131277270051155
Massachusetts,2020-02-12,25,1,0,MA,0.30225799049580104
Texas,2020-02-12,48,1,0,TX,0.524455458647158
Washington,2020-02-12,53,1,0,WA,0.33948613415871975
Wisconsin,2020-02-12,55,1,0,WI,0.7417592062992386
Arizona,2020-02-13,4,1,0,AZ,0.4034428682014134
California,2020-02-13,6,7,0,CA,0.19526375542683672
Illinois,2020-02-13,17,2,0,IL,0.8524022057831634
Massachusetts,2020-02-13,25,1,0,MA,0.2828668327291526
Texas,2020-02-13,48,2,0,TX,0.9970184629450833
Washington,2020-02-13,53,1,0,WA,0.7675974756874939
Wisconsin,2020-02-13,55,1,0,WI,0.11092854209538638
Arizona,2020-02-14,4,1,0,AZ,0.6960862627871036
California,2020-02-14,6,7,0,CA,0.18679239934194458
Illinois,2020-02-14,17,2,0,IL,0.6769630001623261
Massachusetts,2020-02-14,25,1,0,MA,0.8604946196061948
Texas,2020-02-14,48,2,0,TX,0.8358305134162618
Washington,2020-02-14,53,1,0,WA,0.6743820492552632
Wisconsin,2020-02-14,55,1,0,WI,0.9118896247591695
Arizona,2020-02-15,4,1,0,AZ,0.8462038240589378
California,2020-02-15,6,7,0,CA,0.27783994764741915
Illinois,2020-02-15,17,2,0,IL,0.01902332261418449
Massachusetts,2020-02-15,25,1,0,MA,0.8875222075231665
Texas,2020-02-15,48,2,0,TX,0.9169839157900758
Washington,2020-02-15,53,1,0,WA,0.49948630603412114
Wisconsin,2020-02-15,55,1,0,WI,0.6236473025780217
Arizona,2020-02-16,4,1,0,AZ,0.3474090485670257
California,2020-02-16,6,7,0,CA,0.6166959344635571
Illinois,2020-02-16,17,2,0,IL,0.5839884702484
Massachusetts,2020-02-16,25,1,0,MA,0.7981098743353553
Texas,2020-02-16,48,2,0,TX,0.8850890641686481
Washington,2020-02-16,53,1,0,WA,0.7548209790969184
Wisconsin,2020-02-16,55,1,0,WI,0.5048175679184469
Arizona,2020-02-17,4,1,0,AZ,0.275831374037126
California,2020-02-17,6,7,0,CA,0.4017678118528063
Illinois,2020-02-17,17,2,0,IL,0.5539595528101287
Massachusetts,2020-02-17,25,1,0,MA,0.470262078263033
Nebraska,2020-02-17,31,10,0,NE,0.6177955176988784
Texas,2020-02-17,48,2,0,TX,0.04858729812951523
Washington,2020-02-17,53,1,0,WA,0.01443529999755555
Wisconsin,2020-02-17,55,1,0,WI,0.9649306449722502
Arizona,2020-02-18,4,1,0,AZ,0.27558713173257177
California,2020-02-18,6,7,0,CA,0.45991059138246204
Illinois,2020-02-18,17,2,0,IL,0.9102411263552888
Massachusetts,2020-02-18,25,1,0,MA,0.545931862077558
Nebraska,2020-02-18,31,10,0,NE,0.05452949395611806
Texas,2020-02-18,48,2,0,TX,0.8695076131432734
Washington,2020-02-18,53,1,0,WA,0.1893981939196202
Wisconsin,2020-02-18,55,1,0,WI,0.09591972342516031
Arizona,2020-02-19,4,1,0,AZ,0.22641492035517385
California,2020-02-19,6,7,0,CA,0.8800512240623052
Illinois,2020-02-19,17,2,0,IL,0.6730999228527638
Massachusetts,2020-02-19,25,1,0,MA,0.0628587521709093
Nebraska,2020-02-19,31,10,0,NE,0.23730981081807834
Texas,2020-02-19,48,2,0,TX,0.45523656108608856
Washington,2020-02-19,53,1,0,WA,0.49719160924021877
Wisconsin,2020-02-19,55,1,0,WI,0.19565350965865214
Arizona,2020-02-20,4,1,0,AZ,0.5264374177922241
California,2020-02-20,6,8,0,CA,0.2179071043534131
Illinois,2020-02-20,17,2,0,IL,0.5350652284643234
Massachusetts,2020-02-20,25,1,0,MA,0.6718143332445543
Nebraska,2020-02-20,31,11,0,NE,0.5482370954954805
Texas,2020-02-20,48,2,0,TX,0.6106524721993299
Washington,2020-02-20,53,1,0,WA,0.43633680552691056
Wisconsin,2020-02-20,55,1,0,WI,0.24051287662693566
Arizona,2020-02-21,4,1,0,AZ,0.31030803907157356
California,2020-02-21,6,9,0,CA,0.31679778547209947
Illinois,2020-02-21,17,2,0,IL,0.3175150474652584
Massachusetts,2020-02-21,25,1,0,MA,0.8192147563148121
Nebraska,2020-02-21,31,11,0,NE,0.7245506238369694
Texas,2020-02-21,48,4,0,TX,0.05104552656237216
Washington,2020-02-21,53,1,0,WA,0.8492561102770377
Wisconsin,2020-02-21,55,1,0,WI,0.6006377472474016
Arizona,2020-02-22,4,1,0,AZ,0.9524850047920237
California,2020-02-22,6,9,0,CA,0.4668025768068077
Illinois,2020-02-22,17,2,0,IL,0.8647975472526183
Massachusetts,2020-02-22,25,1,0,MA,0.48918291901703825
Nebraska,2020-02-22,31,11,0,NE,0.6644749147598414
Texas,2020-02-22,48,4,0,TX,0.6685628856554917
Washington,2020-02-22,53,1,0,WA,0.018149759542798627
